,name
0,Dennis Rodman
1,Dwayne Schintzius
2,Earl Cureton
3,Ed O'Bannon
4,Ed Pinckney
5,Eddie Johnson
6,Eddie Jones
7,Elden Campbell
8,Eldridge Recasner
9,Elliot Perry
10,Elmer Bennett
11,Elmore Spencer
12,Emanual Davis
13,Ennis Whatley
14,Eric Leckner
15,Eric Mobley
16,Eric Montross
17,Eric Murdock
18,Eric Piatkowski
19,Eric Snow
20,Eric Williams
21,Erick Dampier
22,Erick Strickland
23,Ervin Johnson
24,Duane Ferrell
25,Duane Causwell
26,Doug West
27,Doug Overton
28,Dell Demps
29,Dennis Scott
30,Derek Fisher
31,Derek Harper
32,Derek Strong
33,Derrick Alston
34,Derrick Coleman
35,Derrick McKey
36,Detlef Schrempf
37,Devin Gray
38,Dexter Boney
39,Evric Gray
40,Dickey Simpkins
41,Dino Radja
42,Dominique Wilkins
43,Don MacLean
44,Don Reid
45,Donald Royal
46,Donald Whiteside
47,Donnie Boyce
48,Donny Marshall
49,Dontonio Wingfield
50,Donyell Marshall
51,Doug Christie
52,Dikembe Mutombo
53,Dell Curry
54,Felton Spencer
55,Frankie King
56,Horacio Llamas
57,Hot Rod Williams
58,Howard Eisley
59,Hubert Davis
60,Ike Austin
61,Isaiah Rider
62,Ivano Newbill
63,Jack Haley
64,Jalen Rose
65,Jamal Mashburn
66,James Robinson
67,James Scott
68,Jamie Feick
69,Jamie Watson
70,Jaren Jackson
71,Jason Caffey
72,Jason Kidd
73,Jason Sasser
74,Jayson Williams
75,Jeff Grayer
76,Jeff Hornacek
77,Jeff McInnis
78,Jermaine O'Neal
79,Horace Grant
80,Hersey Hawkins
81,Herb Williams
82,Henry James
83,Fred Roberts
84,Gary Grant
85,Gary Payton
86,Gary Trent
87,Gaylon Nickerson
88,George Lynch
89,George McCloud
90,George Zidek
91,Gerald Wilkins
92,Gheorghe Muresan
93,Glen Rice
94,Frank Brickowski
95,Glenn Robinson
96,Grant Long
97,Greg Anderson
98,Greg Anthony
99,Greg Dreiling
100,Greg Foster
101,Greg Graham
102,Greg Minor
103,Greg Ostertag
104,Hakeem Olajuwon
105,Harvey Grant
106,Haywoode Workman
107,Grant Hill
108,Dee Brown
109,Dean Garrett
110,David Wood
111,Ashraf Amaya
112,Avery Johnson
113,B.J. Armstrong
114,Ben Davis
115,Ben Wallace
116,Benoit Benjamin
117,Bill Wennington
118,Billy Owens
119,Bimbo Coles
120,Bison Dele
121,Blue Edwards
122,Bo Outlaw
123,Bob Sura
124,Bobby Hurley
125,Bobby Phills
126,Brad Lohaus
127,Brent Barry
128,Brent Price
129,Brent Scott
130,Brett Szabo
131,Brian Evans
132,Brian Grant
133,Brian Shaw
134,Arvydas Sabonis
135,Armen Gilliam
136,Antonio McDyess
137,Antonio Lang
138,A.C. Green
139,Aaron McKie
140,Aaron Williams
141,Acie Earl
142,Adam Keefe
143,Adrian Caldwell
144,Alan Henderson
145,Aleksandar Djordjevic
146,Allan Houston
147,Allen Iverson
148,Alonzo Mourning
149,Brooks Thompson
150,Alton Lister
151,Andrew DeClercq
152,Andrew Lang
153,Anfernee Hardaway
154,Anthony Goldwire
155,Anthony Mason
156,Anthony Miller
157,Anthony Peeler
158,Antoine Carr
159,Antoine Walker
160,Antonio Davis
161,Antonio Harvey
162,Amal McCaskill
163,Bruce Bowen
164,Bryant Reeves
165,Bryant Stith
166,Clifford Robinson
167,Clifford Rozier
168,Clyde Drexler
169,Corie Blount
170,Corliss Williamson
171,Cory Alexander
172,Craig Ehlo
173,Cuonzo Martin
174,Dale Davis
175,Dale Ellis
176,Damon Stoudamire
177,Clar. Weatherspoon
178,Dan Majerle
179,Dana Barros
180,Danny Ferry
181,Danny Manning
182,Darrell Armstrong
183,Darrick Martin
184,Darrin Hancock
185,Darvin Ham
186,David Robinson
187,David Vaughn
188,David Wesley
189,David Wingate
190,Dan Schayes
191,Jerome Allen
192,Chucky Brown
193,Chris Whitney
194,Bryon Russell
195,Buck Williams
196,Byron Scott
197,Calbert Cheaney
198,Carl Herrera
199,Carl Thomas
200,Carlos Rogers
201,Cedric Ceballos
202,Charles Barkley
203,Charles Jones
204,Charles Oakley
205,Christian Laettner
206,Charles Smith
207,Cherokee Parks
208,Chris Carr
209,Chris Childs
210,Chris Dudley
211,Chris Gatling
212,Chris Jent
213,Chris Mills
214,Chris Morris
215,Chris Mullin
216,Chris Robinson
217,Chris Webber
218,Charlie Ward
219,Jerome Kersey
220,Fred Hoiberg
221,Jerry Stackhouse
222,Rumeal Robinson
223,Sam Cassell
224,Sam Mack
225,Sam Mitchell
226,Sam Perkins
227,Samaki Walker
228,Sarunas Marciulionis
229,Sasha Danilovic
230,Scott Brooks
231,Scott Burrell
232,Scott Williams
233,Ruben Nembhard
234,Scottie Pippen
235,Sean Rooks
236,Sedale Threatt
237,Shandon Anderson
238,Shane Heal
239,Shaquille O'Neal
240,Shareef Abdur-Rahim
241,Sharone Wright
242,Shawn Bradley
243,Shawn Kemp
244,Jerome Williams
245,Shawnelle Scott
246,Sean Elliott
247,Sherman Douglas
248,Roy Rogers
249,Ron Harper
250,Randolph Childress
251,Randy Brown
252,Randy Livingston
